Wkr-Nr.;Land;Wahlkreisname;Wahlberechtigte (A);Wahlberechtigte ohne Sperrvermerk (A1);Wahlberechtigte mit Sperrvermerk (A2);Wahlberechtigte nach § 25 Abs 2 BWO (A3);Wählende (B);Wählende mit Wahlschein (B1);Ungültige;Ungültig;Gültige;Gültig;CDU;CDU;SPD;SPD;AfD;AfD;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;FREIE WÄHLER;FREIE WÄHLER;Die PARTEI;Die PARTEI;Tierschutzpartei;Tierschutzpartei;HEIMAT;HEIMAT;PIRATEN;PIRATEN;ÖDP;ÖDP;V-Partei³;V-Partei³;DiB;DiB;BP;BP;Tierschutzallianz;Tierschutzallianz;MLPD;MLPD;Verjüngungsforschung;Verjüngungsforschung;MENSCHLICHE WELT;MENSCHLICHE WELT;DKP;DKP;Die Grauen;Die Grauen;BüSo;BüSo;Die Humanisten;Die Humanisten;Gartenpartei;Gartenpartei;du;du;SGP;SGP;dieBasis;dieBasis;Bündnis C;Bündnis C;BÜRGERBEWEGUNG;BÜRGERBEWEGUNG;III Weg;III Weg;Bündnis21;Bündnis21;LIEBE;LIEBE;LKR;LKR;PdF;PdF;LfK;LfK;SSW;SSW;Team Todenhöfer;Team Todenhöfer;UNABHÄNGIGE;UNABHÄNGIGE;Volt;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;WGr/EB
;;;;;;;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen
27;NI;Oldenburg – Ammerland;228705;161897;66808;0;173725;63833;1397;1175;172328;172550;34294;32100;65757;55231;8572;8903;12859;17674;10183;8344;35119;40919;0;0;1416;1041;0;1481;0;2009;0;107;1524;795;471;247;0;137;0;0;0;0;0;0;89;29;0;0;0;0;0;51;0;0;0;0;0;176;0;0;0;85;;0;1907;1729;0;0;0;0;0;0;0;0;0;0;137;58;;0;;0;0;0;0;428;0;0;0;1006;0;0;0;0;0;0;0;0
28;NI;Delmenhorst – Wesermarsch – Oldenburg-Land;226827;175857;50970;0;163753;48315;1781;1595;161972;162158;40410;36649;59377;55621;11999;12987;17278;18571;4931;5046;21202;23973;0;0;2165;1555;2600;1545;0;2310;0;150;0;598;0;87;0;108;0;0;0;0;0;0;0;23;0;0;0;0;0;26;0;0;0;0;0;134;0;0;0;83;;0;1905;1698;0;0;0;0;0;0;0;0;0;0;105;57;;0;;0;0;0;0;590;0;0;0;347;0;0;0;0;0;0;0;0
29;NI;Cuxhaven – Stade II;188602;144225;44374;3;140739;42446;1067;1023;139672;139716;42085;36586;51417;48858;10227;11000;9622;14052;2694;3672;15389;17553;0;0;2102;1535;1766;1145;2954;2405;0;180;0;433;0;87;0;100;0;0;0;0;0;0;0;16;0;0;0;0;0;20;0;0;0;0;0;90;0;0;0;79;;0;1416;1418;0;0;0;0;0;0;0;0;0;0;0;31;;0;;0;0;0;0;231;0;0;0;225;0;0;0;0;0;0;0;0
30;NI;Stade I – Rotenburg II;198576;146895;51680;1;151821;49187;1188;935;150633;150886;52069;39969;47763;48301;10735;11002;12019;16720;4340;4301;19923;22091;0;0;0;1620;0;1388;0;1881;0;175;1755;691;0;118;0;107;0;0;0;0;0;0;0;17;0;0;0;0;0;28;0;0;0;0;0;119;0;0;0;80;;0;2029;1485;0;0;0;0;0;0;0;0;0;0;0;42;;0;;0;0;0;0;373;0;0;0;378;0;0;0;0;0;0;0;0
31;NI;Mittelems;233253;183998;49255;0;180543;47032;1330;1104;179213;179439;72523;60733;52309;55461;8993;9235;17466;21101;3996;3969;22562;22515;0;0;0;723;0;1521;0;1592;0;107;0;423;0;97;0;74;0;0;0;0;0;0;0;17;0;0;0;0;0;22;0;0;0;0;0;132;0;0;0;90;;0;1364;1070;0;0;0;0;0;0;0;0;0;0;0;23;;0;;0;0;0;0;291;0;0;0;243;0;0;0;0;0;0;0;0
32;NI;Cloppenburg – Vechta;223948;178129;45774;45;164507;43638;1321;1155;163186;163352;80134;62837;33825;40212;12674;12772;14397;19747;3542;3549;17366;18093;0;0;0;792;0;1093;0;1579;0;104;0;474;0;80;0;67;0;0;0;0;0;0;0;12;0;0;0;0;0;17;0;0;0;0;0;104;0;0;0;92;;0;1248;1088;0;0;0;0;0;0;0;0;0;0;0;49;;0;;0;0;0;0;268;0;0;0;323;0;0;0;0;0;0;0;0
33;NI;Diepholz – Nienburg I;194371;145675;48695;1;146954;46389;1460;982;145494;145972;49116;36915;46455;48196;9683;10372;13671;17628;4029;3920;19702;21139;0;0;0;1322;0;1294;0;1774;0;123;0;465;0;113;0;98;0;0;0;0;0;0;0;21;0;0;0;0;0;12;0;0;0;0;0;118;0;0;0;78;;0;2111;1722;0;0;0;0;0;0;0;0;0;0;0;39;;0;;0;0;0;0;395;0;0;0;228;0;0;0;0;0;0;0;727
34;NI;Osterholz – Verden;197490;144002;53486;2;151308;50998;1927;1089;149381;150219;50274;36183;48574;49430;0;11329;13764;15653;6375;5253;21933;24183;0;0;4578;1494;0;1134;0;1986;0;125;0;443;0;105;0;112;0;0;0;0;0;0;0;34;0;0;0;0;0;27;0;0;0;0;0;131;0;0;0;103;;0;3883;1661;0;0;0;0;0;0;0;0;0;0;0;50;;0;;0;0;0;0;440;0;0;0;343;0;0;0;0;0;0;0;0
35;NI;Rotenburg I – Heidekreis;168927;126435;42448;44;125100;40296;934;896;124166;124204;32720;31119;59131;43196;9182;9945;7354;12526;3010;3536;10035;16857;0;0;2734;1433;0;1057;0;1754;0;186;0;444;0;107;0;90;0;0;0;0;0;0;0;14;0;0;0;0;0;17;0;0;0;0;0;94;0;0;0;74;;0;0;1192;0;0;0;0;0;0;0;0;0;0;0;42;;0;;0;0;0;0;180;0;0;0;341;0;0;0;0;0;0;0;0
36;NI;Harburg;201740;141051;60689;0;161635;57889;1122;893;160513;160742;46711;39850;49773;46765;11007;11671;14395;20426;4230;4682;24120;26777;0;0;3515;2404;0;1193;3561;2360;0;138;0;568;0;141;0;113;0;0;0;0;0;0;0;23;0;0;0;0;0;23;0;0;0;0;0;130;0;0;0;95;;0;2850;2452;0;0;0;0;0;0;0;0;0;0;351;151;;0;;0;0;0;0;433;0;0;0;347;0;0;0;0;0;0;0;0
37;NI;Lüchow-Dannenberg – Lüneburg;182673;129166;53507;0;139183;51033;1546;1077;137637;138106;34287;29032;38784;41262;8603;9145;9513;13241;5378;6328;34606;30585;0;0;1561;1161;2187;1489;0;1681;0;179;0;453;0;147;0;91;0;0;0;0;0;0;0;25;0;0;0;0;0;65;0;0;0;0;0;119;0;0;0;94;;0;2542;2399;0;0;0;0;0;0;0;0;0;0;105;53;;0;;0;0;0;0;189;0;0;0;368;0;0;0;0;0;0;0;71
38;NI;Osnabrück-Land;199960;151467;48493;0;151837;46662;1251;1379;150586;150458;54535;42864;44709;48352;9418;10069;13006;16653;3596;3870;22011;22160;0;0;1262;824;0;1090;0;1397;0;123;0;403;0;88;0;85;0;0;0;0;0;0;0;12;0;0;0;0;0;31;0;0;0;0;0;89;0;0;0;65;;0;2049;1760;0;0;0;0;0;0;0;0;0;0;0;16;;0;;0;0;0;0;300;0;0;0;207;0;0;0;0;0;0;0;0
39;NI;Stadt Osnabrück;195467;135186;60279;2;149541;58259;1335;1031;148206;148510;43316;34462;44876;44919;6695;6903;10090;14627;6977;6224;34140;34546;0;0;0;543;0;1341;0;1284;0;80;0;437;0;125;0;76;0;0;0;0;0;0;0;11;0;0;0;0;194;52;0;0;0;0;0;153;0;0;0;79;;0;1918;1482;0;0;0;0;0;0;0;0;0;0;0;25;;0;;0;0;0;0;598;0;0;0;543;0;0;0;0;0;0;0;0
40;NI;Nienburg II – Schaumburg;193863;144821;49042;0;142895;46764;1248;1103;141647;141792;43817;33968;50017;49553;11695;12434;8804;14213;3070;3842;18094;19968;0;0;1746;1335;0;1211;2800;2078;0;154;0;552;0;72;0;97;0;0;0;0;0;0;0;16;0;0;0;0;0;21;0;0;0;0;0;108;0;0;0;79;;0;1382;1457;0;0;0;0;0;0;0;0;0;0;0;32;;0;;0;0;0;0;352;0;0;0;250;0;0;0;0;0;0;0;222
41;NI;Stadt Hannover I;176770;121939;54831;0;128894;51628;1217;1308;127677;127586;27303;23410;44538;39511;7549;7677;9550;13282;4662;5768;27851;30360;0;0;847;691;1586;1161;1528;1400;0;87;746;681;138;103;0;121;0;0;0;0;0;0;114;55;0;0;0;0;0;63;0;0;0;0;0;180;0;0;0;72;;0;1265;1192;0;0;0;0;0;0;0;0;0;0;0;25;;0;;0;0;0;0;1073;0;0;0;674;0;0;0;0;0;0;0;0
42;NI;Stadt Hannover II;190336;128042;62294;0;143712;58826;1184;1262;142528;142450;26196;22537;46929;40116;6476;6753;9538;13288;7390;8831;37779;41976;0;0;875;698;2428;1705;1937;1479;0;59;979;769;0;122;0;189;0;0;0;0;0;0;146;70;0;0;0;0;0;89;0;0;0;0;287;199;0;0;0;109;;0;1568;1440;0;0;0;0;0;0;0;0;0;0;0;20;;0;;0;0;0;0;1070;0;0;0;931;0;0;0;0;0;0;0;0
43;NI;Hannover-Land I;231250;164419;66831;0;174581;63716;1464;1879;173117;172702;55185;44529;58297;55464;12942;13295;12557;19550;3981;4504;22490;26219;0;0;0;1077;1662;1355;3080;2637;0;130;988;692;0;113;0;95;0;0;0;0;0;0;0;36;0;0;0;0;0;33;0;0;0;0;0;141;0;0;0;72;;0;1727;1564;0;0;0;0;0;0;0;0;0;0;142;66;;0;;0;0;0;0;802;0;0;0;328;0;0;0;0;0;0;0;66
44;NI;Celle – Uelzen;214482;158029;56453;0;158022;53861;1388;1192;156634;156830;51504;40993;50635;48332;14498;14423;13412;17990;4357;4680;18773;21882;0;0;3399;1578;0;1454;0;2169;0;176;0;566;0;128;0;124;0;0;0;0;0;0;0;16;0;0;0;0;0;34;0;0;0;0;0;99;0;0;0;75;;0;0;1592;0;0;0;0;0;0;0;0;0;0;0;28;;0;;0;0;0;0;225;0;0;0;266;0;0;0;0;0;0;0;56
45;NI;Gifhorn – Peine;219966;163670;56296;0;166592;53607;1568;1762;165024;164830;40279;37839;72113;58846;15346;16048;10738;16238;3619;4147;15762;21960;0;0;2084;1627;0;1429;2820;2256;0;174;0;642;0;184;0;113;0;0;0;0;0;0;0;28;0;0;0;0;0;32;0;0;0;0;0;133;0;0;0;121;;0;2016;1942;0;0;0;0;0;0;0;0;0;0;120;74;;0;;0;0;0;0;582;0;0;0;415;0;0;0;0;0;0;0;127
46;NI;Hameln-Pyrmont – Holzminden;184471;134802;49669;0;132893;47362;1345;1284;131548;131609;33575;29809;56893;48438;11208;11590;9102;13624;3676;3734;13259;17274;0;0;1979;1122;0;963;0;1845;0;152;0;463;0;72;0;95;0;0;0;0;0;0;0;10;0;0;0;0;0;23;0;0;0;0;0;113;0;0;0;79;;0;1856;1546;0;0;0;0;0;0;0;0;0;0;0;30;;0;;0;0;0;0;416;0;0;0;211;0;0;0;0;0;0;0;0
47;NI;Hannover-Land II;238323;168628;69695;0;181202;66689;1654;2110;179548;179092;45721;40612;73088;62024;13377;13850;11883;18320;4095;4994;22283;29201;0;0;1978;1672;1701;1432;2618;2535;0;169;1119;867;0;113;0;125;0;0;0;0;0;0;0;35;0;0;0;0;0;36;0;0;0;0;0;158;0;0;0;86;;0;1635;1650;0;0;0;0;0;0;0;0;0;0;0;40;;0;;0;0;0;0;752;0;0;0;421;0;0;0;0;0;0;0;50
48;NI;Hildesheim;215131;157380;57751;0;161685;55338;1676;1907;160009;159778;41230;36504;61857;55439;11387;12161;11507;15397;5481;5308;22973;26565;0;0;1420;1054;0;1432;0;2030;0;160;1506;793;264;143;0;125;0;0;0;0;0;0;0;32;0;0;0;0;0;37;0;0;0;0;0;99;0;0;0;115;;0;2153;1628;0;0;0;0;0;0;0;0;0;0;0;31;;0;;0;0;0;0;416;0;0;0;309;0;0;0;0;0;0;0;231
49;NI;Salzgitter – Wolfenbüttel;200922;151371;49551;0;147218;47470;1794;1496;145424;145722;39541;33453;56157;53411;14331;14415;9544;13463;5675;4478;15353;18105;0;0;1651;1317;0;1274;0;2156;0;240;1220;598;0;86;0;100;0;0;0;0;0;0;0;23;0;0;0;0;0;19;0;0;0;0;0;94;0;0;0;86;;0;1599;1362;0;0;0;0;0;0;0;0;0;0;0;39;;0;;0;0;0;0;743;0;0;0;260;0;0;0;0;0;0;0;353
50;NI;Braunschweig;187721;125786;61934;1;140807;59485;1254;1513;139553;139294;31276;25929;51220;42377;8045;8238;9816;14046;5352;6355;28214;33401;0;0;1194;844;0;1652;0;1567;0;101;0;785;352;180;630;280;0;0;0;0;0;0;101;52;0;0;0;0;0;33;0;0;0;0;0;189;0;0;0;81;;0;1640;1444;0;0;0;0;0;0;0;0;0;0;80;53;;0;;0;0;0;0;675;0;0;0;1012;0;0;0;0;0;0;0;1633
51;NI;Helmstedt – Wolfsburg;180147;133583;46564;0;130671;44553;1623;1467;129048;129204;34367;31827;54349;45414;12339;12241;9766;13073;3575;3496;11305;15481;0;0;2113;1128;0;1192;0;1749;0;200;0;529;486;204;0;85;0;0;0;0;0;0;0;26;0;0;0;0;0;32;0;0;0;0;0;118;0;0;0;106;;0;0;1520;0;0;0;0;0;0;0;0;0;0;0;40;;0;;0;0;0;0;381;0;0;0;362;0;0;0;0;0;0;0;748
52;NI;Goslar – Northeim – Göttingen II;197519;144284;53224;11;143611;50759;1544;1296;142067;142315;47196;33614;52129;53876;11240;11819;8827;14239;3835;4251;14954;17118;0;0;2031;1228;0;1184;0;1840;0;193;0;439;0;84;0;97;0;0;0;0;0;0;0;23;0;0;0;0;0;21;0;0;0;0;0;118;0;0;0;67;;0;1797;1505;0;0;0;0;0;0;0;0;0;0;0;25;;0;;0;0;0;0;325;0;0;0;249;0;0;0;0;0;0;0;58
53;NI;Göttingen I;214542;150086;64456;0;161876;61007;2399;1571;159477;160305;42958;34588;51385;51180;0;9785;15261;15638;8057;8132;37060;32448;0;0;0;1259;0;1625;0;1713;0;174;0;569;0;136;0;125;0;0;0;0;0;0;232;46;0;0;0;0;329;73;0;0;0;0;0;164;0;0;0;111;;0;3428;1570;0;0;0;0;0;0;0;0;0;0;767;78;;0;;0;0;0;0;379;0;0;0;512;0;0;0;0;0;0;0;0
903;NI;Land;6105381;4490772;1614429;180;4563142;1538938;44570;39921;4518572;4523221;1323070;1093579;1603785;1498500;292032;336434;347802;474638;142785;148657;646848;726613;0;0;47466;37214;16581;40158;25460;57931;0;4379;9837;16955;1711;3484;630;3283;0;0;0;0;0;0;750;808;0;0;0;0;523;1020;0;0;0;0;287;3806;0;0;0;2625;0;0;52585;46369;0;0;0;0;0;0;0;0;0;0;1807;1306;0;0;0;0;0;0;0;13565;0;0;0;11897;0;0;0;0;0;0;0;4613
54;HB;Bremen I;245384;146493;98881;10;186308;94672;1337;1071;184971;185237;39440;32375;55934;53425;9099;9835;13929;18396;15306;15739;39721;44414;0;0;1853;1473;2835;1977;2440;2145;0;104;0;0;322;212;0;246;0;0;0;0;0;0;147;84;0;0;0;181;0;0;0;0;0;0;526;325;0;0;0;0;;0;2237;2008;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;1455;0;0;1182;843;0;0;0;0;0;0;0;0
55;HB;Bremen II – Bremerhaven;214365;151695;62667;3;144123;59394;2037;1320;142086;142803;28552;24124;52498;49799;12466;12740;8469;12085;10617;9613;20769;24013;0;0;1799;1438;2629;1932;0;2372;0;187;908;0;391;195;609;269;0;0;0;0;0;0;119;76;0;0;0;205;0;0;0;0;0;0;490;264;0;0;0;0;;0;1770;1453;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;1559;0;0;0;479;0;0;0;0;0;0;0;0
904;HB;Land;459749;298188;161548;13;330431;154066;3374;2391;327057;328040;67992;56499;108432;103224;21565;22575;22398;30481;25923;25352;60490;68427;0;0;3652;2911;5464;3909;2440;4517;0;291;908;0;713;407;609;515;0;0;0;0;0;0;266;160;0;0;0;386;0;0;0;0;0;0;1016;589;0;0;0;0;0;0;4007;3461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3014;0;0;1182;1322;0;0;0;0;0;0;0;0
56;BB;Prignitz – Ostprignitz-Ruppin – Havelland I;172726;134753;37973;0;122512;36281;1675;1504;120837;121008;23433;19414;39853;41163;23799;23221;7355;9070;10845;9754;5623;7677;0;0;4549;3060;2180;1373;0;2557;0;473;636;479;0;111;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;74;0;0;0;0;0;112;0;0;0;0;;0;1771;1580;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;151;0;459;0;194;0;0;0;0;0;0;0;793
57;BB;Uckermark – Barnim I;182836;137105;45731;0;130965;43585;1815;1719;129150;129246;22991;19818;38247;40543;26163;25748;10964;10422;12316;11617;7528;9095;0;0;3811;3131;2071;1517;0;2830;0;482;786;516;412;233;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;179;0;0;0;0;0;131;0;0;0;0;;0;2090;1911;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;241;0;576;0;196;0;0;0;0;0;0;0;1771
58;BB;Oberhavel – Havelland II;249331;171506;77825;0;195208;74993;2470;2120;192738;193088;39996;33377;50697;55193;30863;30793;17322;19802;15501;12665;19026;20663;0;0;8282;5142;4330;2360;0;6154;0;555;2267;1076;952;373;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;145;0;0;0;0;0;244;0;0;0;0;;0;3502;2732;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;472;0;761;0;504;0;0;0;0;0;0;0;0
59;BB;Märkisch-Oderland – Barnim II;230391;161059;69332;0;177065;65947;2856;2567;174209;174498;40804;26254;43117;48712;31929;31820;12270;14939;21700;18004;11742;13954;0;0;0;6101;4425;2393;0;5360;0;476;0;695;737;345;0;0;0;0;0;0;0;0;0;78;0;0;0;0;598;371;0;0;0;0;0;232;0;0;0;0;;0;3750;2865;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;378;0;1021;0;500;0;0;0;0;0;0;0;3137
60;BB;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;202955;153087;49868;0;147618;47252;2239;2039;145379;145579;29236;22274;46642;48423;23931;23845;9266;11934;12672;12019;9474;12211;0;0;5521;3853;2525;1716;0;3599;0;459;840;626;401;270;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;167;0;0;0;0;0;184;0;0;0;0;;0;2305;2173;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;290;1133;1035;0;419;0;0;0;0;0;0;0;1433
61;BB;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;232797;149187;83610;0;190547;80302;1702;1662;188845;188885;26050;26287;64271;50965;17302;18658;16872;20210;14701;19110;35452;35865;0;0;3439;3115;3367;2795;0;4562;0;239;0;705;804;575;0;0;0;0;0;0;0;0;0;79;0;0;0;0;369;271;0;0;0;0;458;368;0;0;0;0;;0;3019;2977;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;469;0;613;1004;1022;0;0;0;0;0;0;0;1737
62;BB;Dahme-Spreewald – Teltow-Fläming III;239844;170546;69298;0;184949;65497;2784;2573;182165;182376;36318;29844;47696;51505;31811;32493;14395;18103;16617;14218;13197;15707;0;0;7725;5627;0;1987;6492;5874;0;525;1266;879;434;317;0;0;0;0;0;0;0;0;0;95;0;0;0;0;379;281;0;0;0;0;0;242;0;0;0;0;;0;2816;2645;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;594;0;946;0;494;0;0;0;1745;0;0;0;1274
63;BB;Frankfurt (Oder) – Oder-Spree;191387;143360;48025;2;142414;45975;1973;1824;140441;140590;22876;19890;39350;41414;30182;28338;9975;12439;15690;13436;8865;9992;0;0;5115;3749;3343;1989;0;3608;0;574;0;495;751;347;0;0;0;0;0;0;0;0;304;156;0;0;0;0;0;170;0;0;0;0;0;158;0;0;0;0;;0;2915;2420;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;306;0;736;0;373;0;0;0;0;0;0;0;1075
64;BB;Cottbus – Spree-Neiße;171267;121779;49488;0;128323;47019;1960;1768;126363;126555;21072;17502;34882;36098;32530;30729;11400;13603;11156;9670;4662;6939;0;0;3375;2818;2943;1593;0;2516;0;423;0;392;0;123;0;0;0;0;0;0;0;0;0;69;0;0;0;0;424;218;0;0;0;0;0;128;0;0;0;0;;0;2779;2212;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;276;1140;899;0;347;0;0;0;0;0;0;0;0
65;BB;Elbe-Elster – Oberspreewald-Lausitz;175310;136832;38478;0;129863;36735;2232;2045;127631;127818;20892;19231;32998;36557;31468;31767;11275;11904;11430;9269;4436;5369;0;0;5212;3913;2245;1476;243;2763;0;662;53;477;8;141;0;0;0;0;0;0;0;0;0;60;0;0;0;0;15;102;0;0;0;0;0;93;0;0;0;0;;0;1819;1547;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;176;5066;2067;0;244;0;0;0;72;0;0;0;399
912;BB;Land;2048844;1479214;569628;2;1549464;543586;21706;19821;1527758;1529643;283668;233891;437753;450573;279978;277412;121094;142426;142628;129762;120005;137472;0;0;47029;40509;27429;19199;6735;39823;0;4868;5848;6340;4499;2835;0;0;0;0;0;0;0;0;304;842;0;0;0;0;1785;1978;0;0;0;0;458;1892;0;0;0;0;0;0;26766;23062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3353;7339;9113;1004;4293;0;0;0;1817;0;0;0;11619
66;ST;Altmark – Jerichower Land;234872;186645;48227;0;159806;46062;1943;1705;157863;158101;36724;33916;43047;43232;30498;30225;12748;13876;15676;14807;6803;8476;0;0;6728;4151;0;1133;791;1824;0;302;0;456;0;80;0;0;0;0;0;0;995;1458;0;112;0;0;0;0;0;0;0;0;0;0;0;146;0;764;0;146;;0;2904;2764;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;233;0;0;0;0;0;0;0;949
67;ST;Börde – Salzlandkreis;223295;176013;47282;0;149905;45017;1935;1694;147970;148211;36089;32560;34994;37489;32738;32075;12252;14017;16675;13615;5625;6516;0;0;3971;2714;0;1038;1178;1938;0;401;0;429;0;84;0;0;0;0;0;0;2019;1792;0;108;0;0;0;0;0;0;0;0;0;0;0;152;0;912;0;162;;0;2176;2020;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;189;0;0;0;0;0;0;0;253
68;ST;Harz;207942;159017;48924;1;138572;46540;1728;1522;136844;137050;37884;30508;34812;37330;24947;24790;10064;12532;14413;12700;6320;7495;0;0;4972;2840;0;934;0;1736;0;296;0;435;0;78;0;0;0;0;0;0;0;1480;0;91;0;0;0;0;0;0;0;0;0;0;0;129;0;758;0;119;;0;3160;2621;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;178;0;0;0;0;0;0;0;272
69;ST;Magdeburg;229198;156513;72685;0;156789;68633;1497;1405;155292;155384;34177;28700;39233;41022;23398;23446;12139;14673;15137;16449;14381;16352;0;0;2430;2060;2081;1737;0;1464;0;339;0;654;302;192;0;0;0;0;0;0;4357;3135;221;173;0;0;0;0;0;0;0;0;0;0;0;282;2095;1898;0;209;;0;2247;2021;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;578;0;0;0;0;0;0;0;3094
70;ST;Anhalt – Dessau – Wittenberg;236539;180475;56064;0;158740;53939;1974;1742;156766;156998;48366;35648;31881;40710;32723;31264;10937;14285;14580;13730;9203;8410;0;0;5195;3608;0;1152;0;1905;0;444;0;553;0;64;0;0;0;0;0;0;0;1514;0;122;0;0;0;0;0;0;0;0;0;0;0;146;0;836;0;159;;0;2696;2246;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;202;0;0;0;0;0;0;0;1185
71;ST;Halle;229809;163093;66716;0;162935;63983;1726;1552;161209;161383;33934;29727;45274;37952;25956;25077;13021;16508;20708;18275;12989;20459;0;0;4015;2795;2335;1689;0;2048;0;291;0;713;0;200;0;0;0;0;0;0;0;1595;399;205;0;0;0;0;0;0;0;0;0;0;0;295;0;773;0;197;;0;2449;2199;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;385;0;0;0;0;0;0;0;129
72;ST;Burgenland – Saalekreis;210378;159101;51276;1;142699;49116;1785;1456;140914;141243;36495;29898;31258;32444;36270;34824;13161;14415;14027;12098;4945;5885;0;0;502;1891;0;1135;0;1764;0;448;0;453;0;92;0;0;0;0;0;0;0;1390;0;118;0;0;0;0;0;0;0;0;0;0;0;144;0;837;0;177;;0;4256;3035;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;195;0;0;0;0;0;0;0;0
73;ST;Mansfeld;217742;172083;45659;0;145315;43638;1995;1745;143320;143570;35694;31329;32698;34906;35535;33791;11762;13718;16360;13656;4060;5108;0;0;4339;2450;0;945;0;1804;0;481;0;374;0;56;0;0;0;0;0;0;0;1308;0;113;0;0;0;0;0;0;0;0;0;0;0;121;0;833;0;133;;0;2666;2307;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;137;0;0;0;0;0;0;0;206
915;ST;Land;1789775;1352940;436833;2;1214761;416928;14583;12821;1200178;1201940;299363;252286;293197;305085;242065;235492;96084;114024;127576;115330;64326;78701;0;0;32152;22509;4416;9763;1969;14483;0;3002;0;4067;302;846;0;0;0;0;0;0;7371;13672;620;1042;0;0;0;0;0;0;0;0;0;0;0;1415;2095;7611;0;1302;0;0;22554;19213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2097;0;0;0;0;0;0;0;6088
74;BE;Berlin-Mitte;207010;134737;72273;0;140655;66424;2061;1856;138594;138799;19216;16526;30611;28881;7632;7810;8448;11040;19764;19610;42443;42486;0;0;0;746;2785;2271;2700;2473;0;78;809;579;199;203;0;111;0;0;0;0;0;0;193;88;0;209;0;0;0;196;0;811;0;36;396;333;0;0;0;245;;42;1809;0;0;0;0;0;0;0;0;0;0;0;81;63;;0;;0;0;0;0;2746;0;0;1290;1216;0;0;0;0;0;0;0;218
