Wkr-Nr.;Land;Wahlkreisname;Wahlberechtigte (A);Wahlberechtigte ohne Sperrvermerk (A1);Wahlberechtigte mit Sperrvermerk (A2);Wahlberechtigte nach § 25 Abs 2 BWO (A3);Wählende (B);Wählende mit Wahlschein (B1);Ungültige;Ungültig;Gültige;Gültig;CDU;CDU;SPD;SPD;AfD;AfD;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;FREIE WÄHLER;FREIE WÄHLER;Die PARTEI;Die PARTEI;Tierschutzpartei;Tierschutzpartei;HEIMAT;HEIMAT;PIRATEN;PIRATEN;ÖDP;ÖDP;V-Partei³;V-Partei³;DiB;DiB;BP;BP;Tierschutzallianz;Tierschutzallianz;MLPD;MLPD;Verjüngungsforschung;Verjüngungsforschung;MENSCHLICHE WELT;MENSCHLICHE WELT;DKP;DKP;Die Grauen;Die Grauen;BüSo;BüSo;Die Humanisten;Die Humanisten;Gartenpartei;Gartenpartei;du;du;SGP;SGP;dieBasis;dieBasis;Bündnis C;Bündnis C;BÜRGERBEWEGUNG;BÜRGERBEWEGUNG;III Weg;III Weg;Bündnis21;Bündnis21;LIEBE;LIEBE;LKR;LKR;PdF;PdF;LfK;LfK;SSW;SSW;Team Todenhöfer;Team Todenhöfer;UNABHÄNGIGE;UNABHÄNGIGE;Volt;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;WGr/EB
;;;;;;;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen
10;SH;Herzogtum Lauenburg – Stormarn-Süd;246277;174614;71662;1;196903;68624;1576;1316;195327;195587;51872;45364;60593;56422;14053;14682;20550;27725;5168;6325;33949;32475;0;0;3517;2204;2956;1791;0;2283;0;261;0;0;0;217;0;155;0;0;0;0;0;0;0;29;0;0;0;0;125;82;0;0;0;0;0;160;0;0;0;105;;0;2544;2237;0;0;0;0;0;0;0;0;0;0;0;48;;0;;0;0;1746;0;829;0;0;0;447;0;0;0;0;0;0;0;0
11;SH;Lübeck;179394;131314;48080;0;131455;45114;1580;1218;129875;130237;28266;23628;44315;39704;8538;8827;9700;13626;4020;5785;27809;29229;0;0;1788;1296;2193;1329;0;1495;0;166;0;0;0;134;0;122;0;0;0;0;0;0;189;71;0;0;0;0;91;46;0;0;0;0;0;196;0;0;298;106;;0;1594;1531;0;0;0;0;0;0;0;0;0;0;89;67;;0;;0;0;1666;0;663;0;0;765;550;0;0;0;0;0;0;0;220
901;SH;Land;2272717;1651400;621282;35;1776145;592130;16132;13391;1760013;1762754;465975;388399;530301;494055;113641;119566;167191;220039;55523;64238;315633;322763;0;0;26518;17043;18090;17870;0;20653;0;2034;0;0;0;1539;581;1763;0;0;0;0;0;0;265;322;0;0;0;0;326;516;0;0;0;0;0;1763;0;0;727;1029;0;0;27124;23407;0;0;0;0;0;0;0;0;0;0;1051;715;0;0;0;0;35027;55578;0;5305;0;0;1431;4157;0;0;0;0;0;0;0;609
12;MV;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;214853;155490;59363;0;156565;54830;2957;2402;153608;154163;31754;26383;45189;49271;25393;24185;11769;13242;17906;16604;12061;12419;0;0;3552;2476;1910;1252;0;2645;0;1112;1414;1023;0;151;0;0;0;0;0;0;0;0;243;117;0;0;0;0;0;121;0;0;0;0;0;175;0;0;0;0;;0;2417;2207;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;399;0;0;0;381;0;0;0;0;0;0;0;0
13;MV;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;205042;151280;53762;0;146362;49489;2316;2258;144046;144104;26208;24621;50736;46846;24760;24673;10322;11638;14949;14979;8163;10147;0;0;3531;2384;0;1019;0;2562;0;889;0;624;0;195;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;109;0;0;0;0;0;157;0;0;0;0;;0;2796;2610;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;332;0;0;0;254;0;0;0;0;0;0;0;2581
14;MV;Rostock – Landkreis Rostock II;222705;152028;70669;8;165329;66372;2319;2352;163010;162977;27672;23103;43932;47280;19882;20658;12242;14852;29715;21491;16556;20941;0;0;2131;1871;0;2036;4476;3935;0;696;1304;854;0;274;0;0;0;0;0;0;0;0;356;152;0;0;0;0;0;147;0;0;0;0;0;290;0;0;0;0;;0;4744;3488;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;408;0;0;0;501;0;0;0;0;0;0;0;0
15;MV;Vorpommern-Rügen – Vorpommern-Greifswald I;241066;178525;62541;0;168922;57982;2769;3143;166153;165779;33903;30910;40429;41583;33025;31303;11005;13776;22767;18857;12199;14654;0;0;1835;1975;1782;1576;5083;5169;0;758;1094;797;0;201;0;0;0;0;0;0;0;0;226;123;0;0;0;0;0;152;0;0;0;0;0;295;0;0;0;0;;0;2805;2904;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;392;0;0;0;354;0;0;0;0;0;0;0;0
16;MV;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ;221421;166411;55010;0;154240;50652;3572;3202;150668;151038;31182;28684;37392;40339;36597;35102;11165;11438;16202;15370;6112;6616;0;0;2468;2183;0;1033;4765;3803;0;2006;0;518;0;123;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;140;0;0;0;0;0;220;0;0;0;0;;0;3257;2822;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;348;1019;0;0;204;0;0;0;0;0;0;0;509
17;MV;Mecklenburgische Seenplatte II – Landkreis Rostock III;209348;156905;52443;0;143622;48322;3021;2824;140601;140798;29950;26402;43730;42049;30320;29421;9825;10609;14494;14434;7573;7179;0;0;4264;2455;0;984;0;2468;0;939;0;443;0;245;0;0;0;0;0;0;0;0;445;163;0;0;0;0;0;85;0;0;0;0;0;140;0;0;0;0;;0;0;2305;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;267;0;0;0;210;0;0;0;0;0;0;0;0
913;MV;Land;1314435;960639;353788;8;935040;327647;16954;16181;918086;918859;180669;160103;261408;267368;169977;165342;66328;75555;116033;101735;62664;71956;0;0;17781;13344;3692;7900;14324;20582;0;6400;3812;4259;0;1189;0;0;0;0;0;0;0;0;1270;709;0;0;0;0;0;754;0;0;0;0;0;1277;0;0;0;0;0;0;16019;16336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2146;1019;0;0;1904;0;0;0;0;0;0;0;3090
