"value","low","high","low95","high95","name","name_eng","color","y","x","date"
15.9,12.6,19.4,10.8,22.2,"SPD","SPD","#DD0000",15.9,2,2025-02-08
13.5,10.5,16.6,8.9,19.3,"Grüne","Greens","#4C9A2A",13.5,3,2025-02-08
5.1,3.7,6.6,3.1,7.8,"Linke","Left","purple",5.1,4,2025-02-08
5.4,2.6,9,2,11.4,"BSW","BSW","#FF6A13",5.4,5,2025-02-08
4.1,3.1,5.2,2.6,6,"FDP","FDP","#FFCC00",4.1,6,2025-02-08
28.9,23.7,34.2,20.5,38.8,"CDU/CSU","CDU/CSU","#000000",28.9,0,2025-02-09
20.5,16.3,24.9,13.9,28.6,"AfD","AfD","#009EE0",20.5,1,2025-02-09
15.8,12.4,19.3,10.8,22,"SPD","SPD","#DD0000",15.8,2,2025-02-09
13.1,10.2,16.2,8.6,18.7,"Grüne","Greens","#4C9A2A",13.1,3,2025-02-09
6.2,3.1,10.1,2.4,12.7,"BSW","BSW","#FF6A13",6.2,4,2025-02-09
5.2,3.8,6.7,3.2,7.8,"Linke","Left","purple",5.2,5,2025-02-09
4,3,5.1,2.6,5.9,"FDP","FDP","#FFCC00",4,6,2025-02-09
28.9,23.6,34.3,20.6,38.6,"CDU/CSU","CDU/CSU","#000000",28.9,0,2025-02-10
20.5,16.3,24.8,14,28.2,"AfD","AfD","#009EE0",20.5,1,2025-02-10
16,12.5,19.5,10.7,22.6,"SPD","SPD","#DD0000",16,2,2025-02-10
13,10.2,16.1,8.6,18.5,"Grüne","Greens","#4C9A2A",13,3,2025-02-10
6.1,3.1,10,2.4,12.5,"BSW","BSW","#FF6A13",6.1,4,2025-02-10
5.2,3.8,6.8,3.2,7.9,"Linke","Left","purple",5.2,5,2025-02-10
4.1,3,5.2,2.6,6,"FDP","FDP","#FFCC00",4.1,6,2025-02-10
29.1,24,34.3,21.1,38.6,"CDU/CSU","CDU/CSU","#000000",29.1,0,2025-02-12
20.5,16.4,24.7,14.1,27.7,"AfD","AfD","#009EE0",20.5,1,2025-02-12
15.9,12.7,19.3,10.9,22.1,"SPD","SPD","#DD0000",15.9,2,2025-02-12
13.3,10.5,16.2,8.8,18.5,"Grüne","Greens","#4C9A2A",13.3,3,2025-02-12
5.7,4.2,7.3,3.5,8.6,"Linke","Left","purple",5.7,4,2025-02-12
5.2,2.7,8.3,2.1,10.5,"BSW","BSW","#FF6A13",5.2,5,2025-02-12
4,3.1,5.1,2.6,5.9,"FDP","FDP","#FFCC00",4,6,2025-02-12
28.9,23.9,34.1,20.9,37.7,"CDU/CSU","CDU/CSU","#000000",28.9,0,2025-02-13
20.7,16.7,24.9,14.3,28.4,"AfD","AfD","#009EE0",20.7,1,2025-02-13
15.9,12.6,19.3,10.7,22.2,"SPD","SPD","#DD0000",15.9,2,2025-02-13
13,10.2,15.9,8.7,18.3,"Grüne","Greens","#4C9A2A",13,3,2025-02-13
5.8,4.3,7.4,3.6,8.7,"Linke","Left","purple",5.8,4,2025-02-13
5.5,3,8.7,2.3,10.8,"BSW","BSW","#FF6A13",5.5,5,2025-02-13
4,3,5.1,2.5,5.9,"FDP","FDP","#FFCC00",4,6,2025-02-13
29.5,24.3,34.6,21.3,38.5,"CDU/CSU","CDU/CSU","#000000",29.5,0,2025-02-14
20.6,16.6,24.9,14.4,28.4,"AfD","AfD","#009EE0",20.6,1,2025-02-14
15.6,12.3,18.9,10.5,21.6,"SPD","SPD","#DD0000",15.6,2,2025-02-14
13.2,10.3,16.1,8.8,18.7,"Grüne","Greens","#4C9A2A",13.2,3,2025-02-14
5.9,4.3,7.4,3.7,8.8,"Linke","Left","purple",5.9,4,2025-02-14
5.1,2.8,8.1,2.2,10,"BSW","BSW","#FF6A13",5.1,5,2025-02-14
4.1,3.1,5.1,2.7,6.1,"FDP","FDP","#FFCC00",4.1,6,2025-02-14
29.5,24.5,34.6,21.1,38.5,"CDU/CSU","CDU/CSU","#000000",29.5,0,2025-02-15
20.5,16.4,24.7,14,28.1,"AfD","AfD","#009EE0",20.5,1,2025-02-15
15.7,12.4,19,10.7,21.8,"SPD","SPD","#DD0000",15.7,2,2025-02-15
13.3,10.5,16.3,8.8,18.8,"Grüne","Greens","#4C9A2A",13.3,3,2025-02-15
6.1,4.6,7.7,3.9,8.9,"Linke","Left","purple",6.1,4,2025-02-15
4.9,2.7,7.5,2.2,9.3,"BSW","BSW","#FF6A13",4.9,5,2025-02-15
4.1,3.1,5.1,2.6,6,"FDP","FDP","#FFCC00",4.1,6,2025-02-15
29.6,24.5,34.5,21.6,38.4,"CDU/CSU","CDU/CSU","#000000",29.6,0,2025-02-16
20.6,16.6,24.6,14.2,27.8,"AfD","AfD","#009EE0",20.6,1,2025-02-16
15.5,12.3,18.7,10.3,21.3,"SPD","SPD","#DD0000",15.5,2,2025-02-16
13.2,10.5,16.1,8.9,18.5,"Grüne","Greens","#4C9A2A",13.2,3,2025-02-16
6,4.6,7.7,3.9,9,"Linke","Left","purple",6,4,2025-02-16
5.2,3,7.9,2.4,9.7,"BSW","BSW","#FF6A13",5.2,5,2025-02-16
4.1,3.1,5.1,2.6,6,"FDP","FDP","#FFCC00",4.1,6,2025-02-16
29.4,24.4,34.6,21.2,38.5,"CDU/CSU","CDU/CSU","#000000",29.4,0,2025-02-17
20.6,16.5,24.8,14.1,28.5,"AfD","AfD","#009EE0",20.6,1,2025-02-17
15.5,12.2,18.9,10.4,21.9,"SPD","SPD","#DD0000",15.5,2,2025-02-17
13.2,10.3,16.2,8.8,18.6,"Grüne","Greens","#4C9A2A",13.2,3,2025-02-17
6.1,4.5,7.7,3.8,9.1,"Linke","Left","purple",6.1,4,2025-02-17
5.2,3,8,2.4,9.9,"BSW","BSW","#FF6A13",5.2,5,2025-02-17
4.1,3.1,5.1,2.6,6,"FDP","FDP","#FFCC00",4.1,6,2025-02-17
29.4,24.3,34.5,21.2,38.7,"CDU/CSU","CDU/CSU","#000000",29.4,0,2025-02-18
20.7,16.7,25,14.4,28.3,"AfD","AfD","#009EE0",20.7,1,2025-02-18
15.4,12.2,18.7,10.5,21.9,"SPD","SPD","#DD0000",15.4,2,2025-02-18
13,10.2,16,8.8,18.3,"Grüne","Greens","#4C9A2A",13,3,2025-02-18
6.4,4.8,8.1,4,9.4,"Linke","Left","purple",6.4,4,2025-02-18
5.2,3.2,7.6,2.6,9.1,"BSW","BSW","#FF6A13",5.2,5,2025-02-18
4.2,3.2,5.3,2.7,6.3,"FDP","FDP","#FFCC00",4.2,6,2025-02-18
29.1,24.2,34.2,21,38.1,"CDU/CSU","CDU/CSU","#000000",29.1,0,2025-02-19
20.5,16.5,24.4,14.2,27.5,"AfD","AfD","#009EE0",20.5,1,2025-02-19
15.8,12.6,19,10.8,22.1,"SPD","SPD","#DD0000",15.8,2,2025-02-19
12.9,10.2,15.7,8.7,18.3,"Grüne","Greens","#4C9A2A",12.9,3,2025-02-19
7.1,5.4,8.8,4.6,10.3,"Linke","Left","purple",7.1,4,2025-02-19
4.6,2.9,6.7,2.4,8,"BSW","BSW","#FF6A13",4.6,5,2025-02-19
4.4,3.4,5.4,2.9,6.4,"FDP","FDP","#FFCC00",4.4,6,2025-02-19
29.2,24.1,34.4,20.8,38.1,"CDU/CSU","CDU/CSU","#000000",29.2,0,2025-02-20
20.3,16.3,24.4,14.1,27.8,"AfD","AfD","#009EE0",20.3,1,2025-02-20
15.8,12.6,19,10.8,22,"SPD","SPD","#DD0000",15.8,2,2025-02-20
12.9,10.2,15.8,8.8,18.3,"Grüne","Greens","#4C9A2A",12.9,3,2025-02-20
7.1,5.3,8.9,4.5,10.6,"Linke","Left","purple",7.1,4,2025-02-20
4.7,2.9,6.8,2.4,8.3,"BSW","BSW","#FF6A13",4.7,5,2025-02-20
4.4,3.4,5.5,2.8,6.5,"FDP","FDP","#FFCC00",4.4,6,2025-02-20
29.3,24.3,34.3,20.8,38.2,"CDU/CSU","CDU/CSU","#000000",29.3,0,2025-02-21
20.5,16.5,24.7,14.1,28.6,"AfD","AfD","#009EE0",20.5,1,2025-02-21
15.4,12.3,18.7,10.4,21.5,"SPD","SPD","#DD0000",15.4,2,2025-02-21
13,10.2,15.9,8.7,18.4,"Grüne","Greens","#4C9A2A",13,3,2025-02-21
7.2,5.5,8.9,4.6,10.3,"Linke","Left","purple",7.2,4,2025-02-21
4.9,3.3,6.7,2.8,8,"BSW","BSW","#FF6A13",4.9,5,2025-02-21
4.3,3.3,5.3,2.8,6.3,"FDP","FDP","#FFCC00",4.3,6,2025-02-21
29.3,24.2,34.5,20.9,38.5,"CDU/CSU","CDU/CSU","#000000",29.3,0,2025-02-22
20.4,16.4,24.5,13.9,27.8,"AfD","AfD","#009EE0",20.4,1,2025-02-22
15.6,12.3,18.9,10.5,22.1,"SPD","SPD","#DD0000",15.6,2,2025-02-22
13,10.3,15.9,8.6,18.4,"Grüne","Greens","#4C9A2A",13,3,2025-02-22
7.5,5.8,9.4,4.9,10.9,"Linke","Left","purple",7.5,4,2025-02-22
4.4,3.4,5.5,2.9,6.4,"FDP","FDP","#FFCC00",4.4,5,2025-02-22
4.3,3,5.8,2.5,6.8,"BSW","BSW","#FF6A13",4.3,6,2025-02-22
